id,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,netBuildingPaymentAmount,netContentsPaymentAmount
88ec3df8-18a9-44f1-ae59-2bf74b5e0ea6,39593.93,2838.76,0.00,39593.93,2838.76
f1e43e1b-fa73-49b4-a8ad-c1c6131cdbaf,872.09,0.00,0.00,872.09,0.00
6b6a8942-e814-41ff-a154-730fd8e5c6cf,,,,0.00,0.00
05c7646e-6bd6-4fec-a540-4c4b1c25fb1a,21506.37,11592.05,0.00,21506.37,11592.05
2a5b1f9b-70cf-471d-a128-bdb74c571f1b,64810.32,13755.48,0.00,64810.32,13755.48
ce930e85-6df8-4ff5-aed1-ab051d1df6dd,2357.01,0.00,0.00,2357.01,0.00
330077a1-72a7-4f53-84ce-2d38b0ec8027,9535.75,0.00,0.00,9535.75,0.00
af84575c-8a3d-471e-9deb-ee407107232f,75042.57,5547.68,0.00,75042.57,5547.68
d1eb6e97-0e01-4435-a409-d4dfbb5bebbf,6049.73,472.17,0.00,6049.73,472.17
abc92188-2590-4e57-bf59-22f4ddf93d18,0.00,0.00,0.00,0.00,0.00
e422b991-27cb-4b20-b697-eab7ea869ee6,72266.28,0.00,0.00,72266.28,0.00
755d4948-aaff-4c0d-9e54-fba5ba7cb75b,16164.69,225.00,0.00,16164.69,225.00
2b3034b6-5ccc-4537-bdd4-7e34d97256ed,86720.49,0.00,0.00,86720.49,0.00
364b834e-b2de-463f-b3a6-ec101c7e38fb,17700.00,7400.00,0.00,17700.00,7400.00
c40afe05-9108-46ce-8d0e-2d57a9d18999,47239.12,0.00,0.00,47239.12,0.00
b18b7c61-4289-4143-95de-30ebc8ba47ac,6250.05,0.00,0.00,6250.05,0.00
7ce7871e-0967-45d4-827c-d937b79e2050,10902.05,0.00,0.00,10902.05,0.00
e08860c4-af70-49c1-8571-f7178897d9bb,1068.73,0.00,0.00,1068.73,0.00
cc07cc9a-e87f-4459-84b3-b3baa3ed3be9,369.08,464.26,0.00,369.08,464.26
d8e192bb-bc84-4569-9858-bdc7f5dc31e4,7067.56,0.00,0.00,7067.56,0.00
fe8fbe83-4788-490f-a060-de78d134a200,,,,0.00,0.00
b1f83235-c06c-40b8-9c3c-0b404b8f8fd5,18918.83,4292.16,0.00,18918.83,4292.16
c3498d5b-4fad-4ac7-a802-f8cd5d8537b7,,,,0.00,0.00
0a4bb26a-aac1-414c-afd2-937ae461b6b3,4000.00,0.00,0.00,4000.00,0.00
40176620-aeea-4e42-8bec-c6f34929d968,74259.35,0.00,0.00,74259.35,0.00
a6cdd503-dab1-473c-ba46-695920401621,1572.65,4600.00,0.00,1572.65,4600.00
74b0ccf9-cef3-4c1e-a327-66779ff56193,15684.08,0.00,0.00,15684.08,0.00
019022eb-35ce-4cd3-bf24-c79933bc4f40,5764.41,0.00,0.00,5764.41,0.00
4535475e-61d1-4449-b20e-d2a6375c9f21,79200.00,8651.83,0.00,79200.00,8651.83
942f1c82-4d21-487c-910f-8cb46c948120,,,,0.00,0.00
33b8ac7e-91e9-4216-8ffd-729080476307,0.00,0.00,0.00,0.00,0.00
d16b22b5-eb5f-4ba1-8ed5-dc6fbbdbacba,17183.04,8987.62,0.00,17183.04,8987.62
76348825-1d3c-444b-9d2d-e7e5e955d15a,,,,0.00,0.00
6ebe9e8c-05d7-42af-b945-6f4ddf81de9a,,,,0.00,0.00
8f26b87a-65bd-4d2c-a052-f584cc0cb81d,83211.24,0.00,0.00,83211.24,0.00
74241f22-9c05-4d05-b449-7f0109744a93,5484.80,0.00,0.00,5484.80,0.00
b2911490-7e38-4336-bcd2-1a88c2d03343,,,,0.00,0.00
f31c8cee-3a8d-4ffe-9f7d-362f8bf63d6f,6844.14,5424.00,0.00,6844.14,5424.00
75f08258-ca84-42aa-b4ed-74612e22c766,41218.60,0.00,0.00,41218.60,0.00
e56dac15-9f13-4fea-887a-cc946a2335c8,7428.02,0.00,0.00,7428.02,0.00
a930bcee-6259-4c17-b02d-aec846e6bb7f,15820.38,0.00,0.00,15820.38,0.00
e51e7540-dfff-43f8-90b4-22eec61ac6e5,18617.60,1119.61,0.00,18617.60,1119.61
368a3837-4902-414b-8447-7db033f06a0e,152568.77,60338.86,0.00,152568.77,60338.86
2ca83473-e2b2-4772-acbb-1ee4406d3b24,0.00,0.00,0.00,0.00,0.00
b3de44fe-3a99-4eaa-abce-016afd4dd1a5,11387.23,5420.98,0.00,11387.23,5420.98
1499ed21-2749-4fe5-bf26-cd43e9c2e82d,67675.73,0.00,0.00,67675.73,0.00
c9fc5b59-bcdc-4b38-ba5f-d5ec6018b5ba,1074.85,0.00,0.00,1074.85,0.00
631e6d34-85bf-43d6-b909-2e75fb0fd4bf,,,,0.00,0.00
213aa23e-12e7-4b61-b6f6-35dd1301ca69,85028.00,11330.44,0.00,85028.00,11330.44
268596dd-96b6-4f32-bfe5-45af8f975b85,16336.19,0.00,0.00,16336.19,0.00
b7b2b58b-8476-4103-939a-0f17e184cac8,4355.49,0.00,0.00,4355.49,0.00
3c2e5edb-a4b3-4c0c-8193-f19294d1aa64,17384.25,0.00,0.00,17384.25,0.00
2326526f-b2dc-4b76-ad5e-038de12486d2,8493.40,0.00,0.00,8493.40,0.00
1d3f2e32-2def-411d-96d6-e90e06818a4b,10000.00,5000.00,0.00,10000.00,5000.00
1eb5643a-9258-4534-a04b-fa1300a26155,250000.00,65882.04,0.00,250000.00,65882.04
da8a9b1a-e998-48cf-b1f8-7c9c4b268c92,,,,0.00,0.00
4e7c9994-582a-4bbb-b2a4-cf4fc3319f10,,,,0.00,0.00
55109d5b-076c-439e-b440-5494814f0248,11716.79,0.00,0.00,11716.79,0.00
3f6d0012-72d9-4f96-baa1-98cc53016e10,,,,0.00,0.00
883e8a4c-1cd2-4f0b-831f-7fe09401b203,1926.26,0.00,0.00,1926.26,0.00
b1a27090-be86-46e8-8d64-b41093db8595,13838.68,0.00,0.00,13838.68,0.00
08b5cb29-6929-4395-bc35-0c92688a52f6,,,,0.00,0.00
7077f2ce-9a23-4900-91fc-57c10dffc71d,138500.00,29500.00,3900.00,138500.00,29500.00
e89edeff-cdbf-4d94-9d78-24ed89af4545,400.00,265.00,0.00,400.00,265.00
6c32d1d5-0da4-49e4-b0af-0919e231c1b7,9262.99,0.00,0.00,9262.99,0.00
356e85ce-f784-4dbc-a566-53a8fcdc3a03,67100.00,10000.00,0.00,67100.00,10000.00
556d407a-8d0f-4d88-b553-417ee249a376,0.00,125000.00,0.00,0.00,125000.00
5378c600-f735-4dd8-9eb1-c7f6876abf66,,,,0.00,0.00
09122062-a344-4e40-9132-9b935cfae5a1,,,,0.00,0.00
118318fb-3892-4f21-be1a-35d9df216ace,11655.44,2191.05,0.00,11655.44,2191.05
c9af2d83-8f8e-4c6a-bf4f-d333041a3821,2033.28,0.00,0.00,2033.28,0.00
86c13da5-9093-43cd-89a2-6f54af817a36,5801.31,0.00,0.00,5801.31,0.00
1f87ea4e-a3f8-4093-9fac-c6ba49b3fe5c,,,,0.00,0.00
00451243-7ce4-4817-a35f-bf15cd343038,,,,0.00,0.00
c0c20a83-ce89-4c5b-a802-d77a0d4a5ff2,1705.95,0.00,0.00,1705.95,0.00
3f9fd614-882a-4727-95d5-58f4d34a00ed,925.07,0.00,0.00,925.07,0.00
6034925d-aacd-4f11-8ede-e694ad17be4f,7773.12,3249.00,0.00,7773.12,3249.00
3c2d7957-e5cc-49b3-8032-7be4ec9a5fff,,,,0.00,0.00
1a043f3b-5404-49bb-88a3-fccef457c33b,34502.13,8381.26,0.00,34502.13,8381.26
9a01509b-a2c9-425b-8ecb-884366645684,31163.70,0.00,0.00,31163.70,0.00
c6815da0-d3ac-418d-8297-617d75c23ef8,18365.03,7068.58,0.00,18365.03,7068.58
551993b9-01f8-4635-b020-1cf28863b3d4,,,,0.00,0.00
5e4a03e8-0c89-4901-99f8-c118147a8a0a,116.83,1736.54,0.00,116.83,1736.54
fbfb87d1-a0fb-4856-9732-dea5c9be33cf,29543.68,0.00,0.00,29543.68,0.00
3503a02b-d125-47f5-88e7-8e1214fc8cf8,13640.84,10000.00,0.00,13640.84,10000.00
fdbe6f9c-9b1d-4bd1-a34a-aca6525e878c,,,,0.00,0.00
a195b6d0-661d-4883-9f30-2fb4fe203a0a,24541.53,13350.00,0.00,24541.53,13350.00
d714becf-6754-4047-82de-5e17fcf89550,3703.69,27.22,0.00,3703.69,27.22
20ab35cc-bbb9-49b0-bb1b-64b33a476d4a,19421.26,0.00,0.00,19421.26,0.00
ae6c7199-289a-4cd5-b8bc-a07b5d03fbcb,,,,0.00,0.00
628ca7d3-7745-4200-acf6-b9a2ad96750c,98400.00,45000.00,0.00,98400.00,45000.00
d1e337a1-06a7-416a-b644-b42977b17fd4,12927.41,380.00,0.00,12927.41,380.00
701abfd2-0e58-4a65-9b73-28bcd097c5df,117126.19,14829.90,0.00,117126.19,14829.90
1c1c4e90-0b8a-4e51-b77f-e0c89cfc4614,3175.22,0.00,0.00,3175.22,0.00
b913a398-b702-42f9-96d8-0d9fe8050e8e,,,,0.00,0.00
e3b06460-519c-4150-a70b-c91bfa5580c5,125000.00,27170.56,9300.00,125000.00,27170.56
25e020b5-6246-4e9e-b663-f847f147a747,0.00,4338.00,0.00,0.00,4338.00
6d416a25-7c2c-4570-be08-a64e1ac8f20a,10366.01,2014.44,0.00,10366.01,2014.44
8b669cdb-f826-4637-8510-afef549ffb04,1022.48,639.60,0.00,1022.48,639.60
0b4428aa-9e23-475f-b07d-b48c8ab48aa9,,,,0.00,0.00
0ba82843-d436-49e1-ab2e-57d42fe4aff3,25407.69,0.00,0.00,25407.69,0.00
4d8b68fb-6e3a-45db-876a-63fa55185f8f,,,,0.00,0.00
2eff5919-7bfb-4dad-aa42-51b86bc08d0e,4365.94,0.00,0.00,4365.94,0.00
1eaaeb32-83f5-481b-9863-8eee92a6b179,16000.00,0.00,0.00,16000.00,0.00
2b5c72d4-fd96-4e1c-98e9-fcd2785822cb,1022.00,0.00,0.00,1022.00,0.00
76fc2b49-3100-416b-a448-11fc8382384e,8493.17,4735.71,0.00,8493.17,4735.71
545eb611-f2ba-43c4-a85a-1dad3a7de80a,12041.09,0.00,0.00,12041.09,0.00
be61f06c-7c57-47ec-be32-0ffe0f111fd2,15597.64,0.00,0.00,15597.64,0.00
e2ccc2aa-1d53-4248-8be6-59c0aa3a7245,25686.14,0.00,0.00,25686.14,0.00
2bc47379-914f-451d-9bb3-f82fd115047e,63279.09,0.00,0.00,63279.09,0.00
e9b9f164-726c-44ca-95a9-32f3e80c211e,13280.03,0.00,0.00,13280.03,0.00
3249af1d-4f02-4de7-b842-e890b3a51b4c,51155.49,28844.57,0.00,51155.49,28844.57
1c6d5214-57b6-4659-a754-1a1825e31f38,,,,0.00,0.00
445839da-b03b-44ff-808b-4e23ebbb539d,,,,0.00,0.00
ee6cfc59-8a04-41a9-9929-cd8975ebe175,14516.94,0.00,0.00,14516.94,0.00
6f027b73-bb9a-4e4d-9152-a2731eb9b04f,37787.27,39495.59,0.00,37787.27,39495.59
169ec4d0-326f-47a0-bb61-9872f22257c5,,,,0.00,0.00
e69c4a29-4ce2-4f1f-a659-fb0d35b93ed9,,,,0.00,0.00
c1613674-888f-4bb7-be0e-3bbe548f9f33,11799.27,0.00,0.00,11799.27,0.00
058debd7-9888-4797-bbe4-44089ec47aa0,,,,0.00,0.00
41d1d7d5-d7f5-4c31-b6c8-41df1efea1dc,166970.98,60000.00,0.00,166970.98,60000.00
01989411-7354-46a9-833f-d1292b8f94fb,893.42,0.00,0.00,893.42,0.00
ed7dc871-b224-489a-9e28-c10cc5b4615c,131000.00,64500.00,0.00,131000.00,64500.00
76a91924-83d9-45bd-8abb-f2461ea378b5,,,,0.00,0.00
d75bea5b-9677-42a6-8549-a6f1f29d9297,,,,0.00,0.00
06fc536f-8d73-4474-833f-06571c454867,250000.00,14800.00,0.00,250000.00,14800.00
d2bc868a-b70a-4be3-ba08-002e4f651c28,79429.59,0.00,0.00,79429.59,0.00
a4c79dce-f9e2-423c-ac07-21159fe18469,40000.00,0.00,0.00,40000.00,0.00
56488b11-6700-476b-a09e-b2a075443dae,44269.23,0.00,0.00,44269.23,0.00
2ffcf79f-4f25-4948-9b86-3944c5232d3c,1151.32,0.00,0.00,1151.32,0.00
6ed269a0-ba60-46b9-9d30-f2d6c04a7e8a,13107.76,0.00,0.00,13107.76,0.00
ce3de869-0c5e-40d7-9d02-dd92b97d038a,,,,0.00,0.00
14dc00d5-cb31-4d0e-9017-a20f176b1965,39382.89,43000.00,0.00,39382.89,43000.00
692a4529-0357-475f-8e20-af8b667cd9b1,,,,0.00,0.00
46da65f6-e34e-4e9d-9dd3-5646c8580f41,505.56,554.90,0.00,505.56,554.90
3fddb1c9-271e-4f80-a17a-524a1fd47a8a,,,,0.00,0.00
bdaef350-b299-4983-9dad-d27a5af67973,183800.00,33000.00,0.00,183800.00,33000.00
b8d948d3-cc6b-480f-aedd-e2d88f86035a,1150.33,0.00,0.00,1150.33,0.00
68f59f01-2b03-43ba-9a8e-d549274b3809,0.00,0.00,0.00,0.00,0.00
9eac0da1-89c8-40e6-acbc-b6c2ec01beb2,,,,0.00,0.00
74072fc2-6d2d-456f-aef5-4a954f06fb16,5577.72,0.00,0.00,5577.72,0.00
df9422a4-b3b3-4a1a-bc09-cb7f42ec9775,212494.80,0.00,0.00,212494.80,0.00
376903ca-03ed-4558-82a7-8d8b91304f43,10162.29,12933.42,0.00,10162.29,12933.42
