id,dateOfLoss,asOfDate,policyCount,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim_x,amountPaidOnContentsClaim_x,amountPaidOnIncreasedCostOfComplianceClaim_x,amountPaidOnBuildingClaim_y,amountPaidOnContentsClaim_y,amountPaidOnIncreasedCostOfComplianceClaim_y,netBuildingPaymentAmount,netContentsPaymentAmount
546d7dc5-4370-4744-9838-aa471bc7b135,2000-10-03 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,134600,50000,AE,3.0,0,1,872.09,0.0,0.0,872.09,0.0,0.0,872.09,0.0
05d5adad-1730-453b-b42d-731a12e7af63,2012-10-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,NY,32000,0,AE,-1.0,0,1,9535.75,0.0,0.0,9535.75,0.0,0.0,9535.75,0.0
716a1df1-4c18-42f4-b9a6-0008e523318c,2012-10-29 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,NJ,250000,5600,A08,0.0,0,0,47239.12,0.0,0.0,47239.12,0.0,0.0,47239.12,0.0
e6a0bd75-98dc-4997-b192-9dda2a3f4777,1995-05-08 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,LA,48300,15900,A04,2.0,1,0,1068.73,0.0,0.0,1068.73,0.0,0.0,1068.73,0.0
dfb8653a-7b95-4b2e-93ad-6594827d6b6f,1996-09-05 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,NC,185200,0,A11,6.0,1,1,7067.56,0.0,0.0,7067.56,0.0,0.0,7067.56,0.0
5561cfbc-9ca4-467c-bea9-fab4b1563901,1992-08-24 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,67400,0,AE,3.0,1,0,,,,,,,0.0,0.0
a3de6dd5-b7b0-479b-b82d-4b566d558af6,2021-08-29 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,LA,500000,0,VE,4.0,0,0,15684.08,0.0,0.0,15684.08,0.0,0.0,15684.08,0.0
7d9eada4-18e2-452f-99b2-5eb4e38c9eb2,2005-08-29 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,MS,133100,52500,A08,-4.0,1,1,79200.0,8651.83,0.0,79200.0,8651.83,0.0,79200.0,8651.83
6ad1d506-1dd1-40ec-97b9-5cd531b7909a,2017-08-26 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,TX,250000,100000,AE,2.0,1,0,,,,,,,0.0,0.0
8d9d4d3c-70ff-4158-a650-f05e83d81172,2023-01-10 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,CA,250000,100000,AE,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622092d9-9052-4499-8d77-31662aa7b14f,1993-10-18 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,TX,86300,52200,AE,9.0,1,0,,,,,,,0.0,0.0
f778a97a-7c8b-4a6b-9632-4423833d1531,2005-08-29 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,LA,250000,66200,AE,1.0,0,1,,,,,,,0.0,0.0
9d1da0d2-087b-4ba0-9f38-473ee68fb47f,2016-08-13 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,LA,154000,0,AE,0.0,1,0,41218.6,0.0,0.0,41218.6,0.0,0.0,41218.6,0.0
09831f1e-49a1-4837-8d95-25beb40b13b0,1999-10-15 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,135000,34000,AHB,3.0,0,0,1074.85,0.0,0.0,1074.85,0.0,0.0,1074.85,0.0
69a4a5a4-1d8b-4cbc-9dc0-b9b44e2adaf7,1995-05-10 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,LA,145000,25000,A01,3.0,0,0,4355.49,0.0,0.0,4355.49,0.0,0.0,4355.49,0.0
9a49b723-436b-44dc-b04f-f6edda75dbfa,2024-09-26 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,250000,70000,AE,-5.0,0,1,250000.0,65882.04,0.0,250000.0,65882.04,0.0,250000.0,65882.04
10e2eec0-9fe0-4635-81ea-070438f05d53,2020-09-16 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,250000,100000,AE,10.0,1,1,9262.99,0.0,0.0,9262.99,0.0,0.0,9262.99,0.0
4afa1187-fe05-4f7f-bf32-4790d8cd20af,2002-09-26 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,AL,45000,0,AE,-5.0,0,1,5801.31,0.0,0.0,5801.31,0.0,0.0,5801.31,0.0
3e7abf2e-6836-41e1-8d71-a641aee4c45e,1986-10-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,MO,13300,3600,AE,2.0,1,0,,,,,,,0.0,0.0
5b1fa007-095d-43c7-860c-aa7d161d1e8b,1999-09-04 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,NC,61600,10500,AE,1.0,0,1,13640.84,10000.0,0.0,13640.84,10000.0,0.0,13640.84,10000.0
84ef0fd2-0f7b-40c3-8f49-6a6c995cb5a8,2005-08-25 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,85900,27600,A,0.0,1,1,,,,,,,0.0,0.0
3c6abe02-7492-422e-a4e4-b3852e62801c,2000-10-03 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,176900,55200,AE,2.0,0,1,,,,,,,0.0,0.0
0b55668a-3688-40ad-b993-f5661cda1c79,2005-08-31 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,MS,250000,100000,A11,2.0,1,1,98400.0,45000.0,0.0,98400.0,45000.0,0.0,98400.0,45000.0
64b6c5f0-a6fb-47d6-96b3-16739c6946c3,2012-10-29 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,NJ,250000,41000,AE,-2.0,0,1,117126.19,14829.9,0.0,117126.19,14829.9,0.0,117126.19,14829.9
a03cfe90-9298-4534-b29e-85d79fbfccd0,2022-09-28 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,250000,100000,AE,1.0,1,1,4365.94,0.0,0.0,4365.94,0.0,0.0,4365.94,0.0
2c3a5ce8-dfcf-4330-a3ab-954b6cecea67,2005-01-06 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,WV,122100,0,A,10.0,1,1,13280.03,0.0,0.0,13280.03,0.0,0.0,13280.03,0.0
21f4222d-3ca7-491d-93ec-c9432702fd63,2005-10-24 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,222000,88000,AHB,1.0,0,1,,,,,,,0.0,0.0
a298b060-207f-4d6c-9c09-cb28fe957098,2005-10-24 00:00:00+00:00,2025-07-01 00:00:00+00:00,1,FL,206000,57800,AHB,1.0,0,1,,,,,,,0.0,0.0
