id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
148f0646-7c32-4e3b-ab5b-9f17b8c71546,AE,,0,0,39593.93,2838.76,0.00
546d7dc5-4370-4744-9838-aa471bc7b135,AE,3.0,0,1,872.09,0.00,0.00
3530035c-c7f4-4ec0-b94a-b513cc4c6bc9,AE,,0,1,,,
e165066e-98f5-4fb4-bcf4-a66d70625fd9,A13,,0,1,21506.37,11592.05,0.00
6f487a9f-e631-4d07-80a7-41989c6ffc74,X,,1,1,64810.32,13755.48,0.00
b550ed8a-91da-428a-9cff-e6d73f374d4d,X,,0,0,2357.01,0.00,0.00
05d5adad-1730-453b-b42d-731a12e7af63,AE,-1.0,0,1,9535.75,0.00,0.00
57df01ec-3e5e-491b-87c4-f2628a42050a,X,,0,1,75042.57,5547.68,0.00
5e783ee7-7213-452b-b119-7fee9a862bab,X,,0,1,6049.73,472.17,0.00
c5b05d55-c00a-414b-a9d1-4b34a2f79e95,AE,,0,1,0.00,0.00,0.00
503ed920-57ca-425d-a256-7974b988e160,A04,,0,1,72266.28,0.00,0.00
d81f92f8-2456-4f38-ab91-dce11e0f33db,C,,1,0,16164.69,225.00,0.00
6b19a096-c820-4f4f-aa7a-919939e7eb16,AE,,0,1,86720.49,0.00,0.00
3ca732f7-316e-4e86-b2fe-21606fc72b49,A99,,0,0,17700.00,7400.00,0.00
716a1df1-4c18-42f4-b9a6-0008e523318c,A08,0.0,0,0,47239.12,0.00,0.00
48bc150a-7683-4780-8939-50dd2b97456f,X,,0,1,6250.05,0.00,0.00
793ee02f-a840-4e2b-a963-8dfde7fe7122,A12,,0,0,10902.05,0.00,0.00
e6a0bd75-98dc-4997-b192-9dda2a3f4777,A04,2.0,1,0,1068.73,0.00,0.00
67a33099-0fb0-459b-bf13-380c7158ecd2,A15,,0,0,369.08,464.26,0.00
dfb8653a-7b95-4b2e-93ad-6594827d6b6f,A11,6.0,1,1,7067.56,0.00,0.00
5561cfbc-9ca4-467c-bea9-fab4b1563901,AE,3.0,1,0,,,
26e0275e-ffe6-4d26-af6d-c186f936363b,AE,,0,1,18918.83,4292.16,0.00
822c5cdf-b536-4a69-ba90-9583024d1606,A,,0,0,,,
99c56493-4dcf-47bc-9a0c-a01b11524ad9,A,,0,0,4000.00,0.00,0.00
56220c28-7653-4d9e-90ba-0c97e1703add,AE,,0,0,74259.35,0.00,0.00
0c298272-f7d8-4542-b2eb-1e6689c482e4,A,,0,0,1572.65,4600.00,0.00
a3de6dd5-b7b0-479b-b82d-4b566d558af6,VE,4.0,0,0,15684.08,0.00,0.00
ca64eacc-f795-4e9c-b342-3c102e0aefbd,X,,0,1,5764.41,0.00,0.00
7d9eada4-18e2-452f-99b2-5eb4e38c9eb2,A08,-4.0,1,1,79200.00,8651.83,0.00
6ad1d506-1dd1-40ec-97b9-5cd531b7909a,AE,2.0,1,0,,,
8d9d4d3c-70ff-4158-a650-f05e83d81172,AE,0.0,1,1,0.00,0.00,0.00
13dd9ab2-a86d-43cb-b1de-cfad90ebb2eb,A,,0,0,17183.04,8987.62,0.00
3b40ac52-ed3b-4cad-9b35-2a9f426e8d8e,X,,0,0,,,
622092d9-9052-4499-8d77-31662aa7b14f,AE,9.0,1,0,,,
4f4dcf5a-2299-4854-932d-de111025d44d,AE,,0,1,83211.24,0.00,0.00
35634add-15e8-4390-ae48-2e24e2b93ac7,X,,0,1,5484.80,0.00,0.00
f778a97a-7c8b-4a6b-9632-4423833d1531,AE,1.0,0,1,,,
95503637-e3c4-4ec2-a984-78b11f5a5f67,A04,,0,0,6844.14,5424.00,0.00
9d1da0d2-087b-4ba0-9f38-473ee68fb47f,AE,0.0,1,0,41218.60,0.00,0.00
3aa3cf32-fa6c-44bc-a858-7b53a2ed73ec,B,,1,1,7428.02,0.00,0.00
0c2a2410-d25e-4e95-a4b3-cbac516214e4,AE,,0,1,15820.38,0.00,0.00
cef12464-f004-4735-a9ba-560a62b15b75,A07,,0,1,18617.60,1119.61,0.00
d7297f1d-abb1-4989-9dd4-16ccbc300bc3,AE,,0,1,152568.77,60338.86,0.00
c9d26e49-7142-419f-9f65-bc44e377b346,A03,,0,1,0.00,0.00,0.00
cad50558-4759-4f55-a3ae-f6b0c5f77089,A04,,0,1,11387.23,5420.98,0.00
c5756306-0ee4-44a2-aed3-bd16386e48ea,AE,,0,1,67675.73,0.00,0.00
09831f1e-49a1-4837-8d95-25beb40b13b0,AHB,3.0,0,0,1074.85,0.00,0.00
bcea1497-7462-4dd7-a194-90430abf0bbe,A03,,0,1,,,
885d8276-4ba2-4284-9199-dfa8fde2ff30,AE,,0,1,85028.00,11330.44,0.00
0b986639-36f8-4cb0-9b31-8eff34f604a4,A01,,0,0,16336.19,0.00,0.00
69a4a5a4-1d8b-4cbc-9dc0-b9b44e2adaf7,A01,3.0,0,0,4355.49,0.00,0.00
f4b0eafc-390f-42b8-863d-8113b0dd79fc,X,,0,0,17384.25,0.00,0.00
7303e680-9d6f-4c50-a016-20d3b1f18652,VE,,0,0,8493.40,0.00,0.00
c5ed29d4-83d8-4b28-9ffc-0c0047f34d00,A,,0,0,10000.00,5000.00,0.00
