id,dateOfLoss,asOfDate,policyCount,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim_x,amountPaidOnContentsClaim_x,amountPaidOnIncreasedCostOfComplianceClaim_x,amountPaidOnBuildingClaim_y,amountPaidOnContentsClaim_y,amountPaidOnIncreasedCostOfComplianceClaim_y,netBuildingPaymentAmount,netContentsPaymentAmount
88ec3df8-18a9-44f1-ae59-2bf74b5e0ea6,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NJ,150000,10000,AE,,0,0,39593.93,2838.76,0.0,39593.93,2838.76,0.0,39593.93,2838.76
f1e43e1b-fa73-49b4-a8ad-c1c6131cdbaf,2000-10-03T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,FL,134600,50000,AE,3.0,0,1,872.09,0.0,0.0,872.09,0.0,0.0,872.09,0.0
6b6a8942-e814-41ff-a154-730fd8e5c6cf,2010-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,FL,250000,0,AE,,0,1,,,,,,,0.0,0.0
05c7646e-6bd6-4fec-a540-4c4b1c25fb1a,2005-04-04T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NJ,109000,14000,A13,,0,1,21506.37,11592.05,0.0,21506.37,11592.05,0.0,21506.37,11592.05
2a5b1f9b-70cf-471d-a128-bdb74c571f1b,2017-08-25T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,TX,250000,100000,X,,1,1,64810.32,13755.48,0.0,64810.32,13755.48,0.0,64810.32,13755.48
ce930e85-6df8-4ff5-aed1-ab051d1df6dd,1992-02-16T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,LA,100000,25000,X,,0,0,2357.01,0.0,0.0,2357.01,0.0,0.0,2357.01,0.0
330077a1-72a7-4f53-84ce-2d38b0ec8027,2012-10-30T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NY,32000,0,AE,-1.0,0,1,9535.75,0.0,0.0,9535.75,0.0,0.0,9535.75,0.0
af84575c-8a3d-471e-9deb-ee407107232f,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NY,250000,100000,X,,0,1,75042.57,5547.68,0.0,75042.57,5547.68,0.0,75042.57,5547.68
d1eb6e97-0e01-4435-a409-d4dfbb5bebbf,2021-09-01T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NJ,250000,100000,X,,0,1,6049.73,472.17,0.0,6049.73,472.17,0.0,6049.73,472.17
abc92188-2590-4e57-bf59-22f4ddf93d18,2022-07-26T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,MO,125000,50000,AE,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e422b991-27cb-4b20-b697-eab7ea869ee6,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NY,250000,25000,A04,,0,1,72266.28,0.0,0.0,72266.28,0.0,0.0,72266.28,0.0
755d4948-aaff-4c0d-9e54-fba5ba7cb75b,1989-08-01T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,TX,136400,60000,C,,1,0,16164.69,225.0,0.0,16164.69,225.0,0.0,16164.69,225.0
2b3034b6-5ccc-4537-bdd4-7e34d97256ed,2009-05-01T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,OK,200100,0,AE,,0,1,86720.49,0.0,0.0,86720.49,0.0,0.0,86720.49,0.0
364b834e-b2de-463f-b3a6-ec101c7e38fb,2021-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,LA,17700,7400,A99,,0,0,17700.0,7400.0,0.0,17700.0,7400.0,0.0,17700.0,7400.0
c40afe05-9108-46ce-8d0e-2d57a9d18999,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NJ,250000,5600,A08,0.0,0,0,47239.12,0.0,0.0,47239.12,0.0,0.0,47239.12,0.0
b18b7c61-4289-4143-95de-30ebc8ba47ac,2010-03-13T00:00:00.000Z,2025-07-01T00:00:00.000Z,1,NY,250000,100000,X,,0,1,6250.05,0.0,0.0,6250.05,0.0,0.0,6250.05,0.0
