path,horizon,state,n_claims,total_loss
0,1,0,3,11096.132085897418
0,2,1,44,617608.4985614768
0,3,0,2,9002.648346276532
0,4,0,3,13789.633001690207
0,5,0,2,53164.34615661901
0,6,1,41,710171.7125042253
0,7,0,5,159243.19408731605
0,8,0,7,74097.9667298975
1,1,0,3,73623.22490959337
1,2,0,2,23316.972481191548
1,3,0,5,184043.67903527757
1,4,0,2,32421.95486407728
1,5,0,6,155983.2940710587
1,6,0,3,22118.675287609327
1,7,0,2,6154.751267877647
1,8,0,5,46765.39422041815
2,1,0,2,69201.19157269389
2,2,0,2,335596.55209082575
2,3,0,3,28051.17683936841
2,4,0,2,5488.696463511112
2,5,0,1,26989.72105060453
2,6,0,5,95989.6582156821
2,7,1,40,655091.0694982485
2,8,1,38,761960.7384983641
3,1,0,3,82611.07526687556
3,2,0,1,5868.581429568027
3,3,0,2,145291.58710755123
3,4,0,3,15882.88091075426
3,5,0,2,7178.523724126346
3,6,0,4,80119.83139509193
3,7,0,3,9039.005624735531
3,8,0,4,76461.21299201307
4,1,1,42,907853.2240407239
4,2,0,2,12268.758102659112
4,3,0,2,31274.42301484093
4,4,0,1,61111.18672030139
4,5,0,3,35670.895037181646
4,6,1,43,746068.8720610564
4,7,0,2,13511.986346655696
4,8,0,3,56427.46227210753
5,1,0,1,3039.9699029453777
5,2,0,4,200144.63862261546
5,3,1,48,882022.6862073959
5,4,0,1,4970.9760505111835
5,5,1,45,1059734.2159981134
5,6,0,4,158881.74101915635
5,7,0,1,7758.092786194162
5,8,0,4,23702.02542886571
6,1,0,3,8394.554632450589
6,2,0,2,7853.723303664114
6,3,0,4,28320.9017095548
6,4,0,4,18053.697631443993
6,5,1,41,662892.3353528581
6,6,1,58,1000411.2583710316
6,7,0,4,15674.921198262811
6,8,0,0,0.0
7,1,0,0,0.0
7,2,0,6,96589.89700390474
7,3,1,34,495406.27964820305
7,4,0,4,144224.2879477994
7,5,0,2,1585.4426632996776
7,6,0,1,1692.0309239206456
7,7,0,4,69251.91814194199
7,8,0,1,12230.498834497457
8,1,0,5,67953.02817699972
8,2,0,0,0.0
8,3,0,4,63275.20476809593
8,4,0,3,24141.869792516838
8,5,0,4,203305.5496036859
8,6,0,3,29219.125568935313
8,7,0,4,171676.27165312658
8,8,0,1,1809.18805245598
9,1,0,3,119666.01388945704
9,2,0,4,77019.25244560733
9,3,0,3,33714.92472478788
9,4,0,8,50082.617659344716
9,5,0,3,17518.443086355433
9,6,0,5,43579.84736680236
9,7,0,3,88633.01576661883
9,8,0,3,8321.52186905109
10,1,0,4,12922.92148435325
10,2,0,6,76624.8287318135
10,3,0,1,582.683289473725
10,4,0,7,264958.3922636269
10,5,0,3,40400.053792247316
10,6,0,7,43345.77926760871
10,7,0,3,40027.39495291843
10,8,0,3,19700.996902923147
11,1,0,5,45296.993575086075
11,2,0,3,74056.28996764711
11,3,0,3,28957.481550085162
11,4,0,2,4517.632950567097
11,5,1,42,755742.9649537492
11,6,1,48,897720.0618467373
11,7,0,6,43117.48917109745
11,8,0,11,214241.605682462
12,1,0,5,68074.33407623379
12,2,1,51,925640.5127072121
12,3,0,5,32151.49554068801
12,4,0,2,41432.57163900501
12,5,0,0,0.0
12,6,0,2,4515.07784597241
12,7,0,1,1421.9242774719517
12,8,0,5,83425.07171829278
13,1,0,4,255161.2309445645
13,2,0,2,15501.843772746808
13,3,0,3,30435.500060249444
13,4,0,4,17167.948908488426
13,5,0,1,961.2265077721185
13,6,0,4,18102.158384782906
13,7,0,7,31872.523090399744
13,8,0,4,77696.02513017532
14,1,0,1,1196.511802073692
14,2,0,5,75836.4736545271
14,3,0,5,345795.44222523295
14,4,0,5,35072.27552475559
14,5,0,6,129218.03973311739
14,6,0,6,143634.26883298668
14,7,1,39,757092.3016046621
14,8,0,5,36759.6720800889
15,1,1,50,765383.165885846
15,2,0,6,28248.32850302091
15,3,0,7,142873.97345347746
15,4,0,2,10205.286921382962
15,5,0,7,65680.42330402427
15,6,0,0,0.0
15,7,0,6,301466.32852119487
15,8,1,41,863984.500791827
16,1,0,1,27192.338008245526
16,2,0,2,15735.226517758736
16,3,0,1,7534.381427723421
16,4,0,5,101435.52587589185
16,5,0,2,16740.14262569993
16,6,0,3,110009.24850380182
16,7,0,2,22917.835928973855
16,8,0,1,25484.209784226674
17,1,0,4,29908.01967329166
17,2,1,49,840635.4704953366
17,3,0,3,80780.10389562104
17,4,0,1,3497.3079244393257
17,5,1,40,654750.9016859239
17,6,0,2,5677.699786360064
17,7,0,5,171954.9688960531
17,8,0,5,28784.268008335028
18,1,0,5,22510.246890689596
18,2,0,3,24822.48833069687
18,3,0,3,108855.56586269767
18,4,0,1,17603.06144982595
18,5,0,2,7970.0015300616915
18,6,0,6,95821.10470460373
18,7,0,1,10254.836543533851
18,8,0,2,21982.050155051347
19,1,0,5,23629.367695155568
19,2,1,48,833382.6736192647
19,3,0,5,46793.944120201064
19,4,1,49,874325.0433641738
19,5,0,1,4300.964278195608
19,6,0,4,35054.02130159031
19,7,0,7,149495.84863380188
19,8,0,4,32369.89662358052
20,1,0,2,99855.2499629841
20,2,0,2,7125.958183177332
20,3,0,1,138455.9275305802
20,4,1,49,916698.9515510306
20,5,0,2,8139.252256067584
20,6,0,2,2136.487943276304
20,7,0,4,41613.17372562398
20,8,0,2,26295.98912975095
21,1,1,58,1145546.123442366
21,2,0,2,37989.01692613761
21,3,0,2,4577.918241124267
21,4,0,5,52252.46605083407
21,5,0,5,301148.2876605242
21,6,0,2,8251.193973062427
21,7,0,2,66305.35741275467
21,8,1,37,666063.2765481486
22,1,0,1,50206.229914137606
22,2,0,3,40063.647661658055
22,3,0,2,4616.815961091912
22,4,1,53,1063631.2504117985
22,5,0,0,0.0
22,6,0,1,14665.389955531937
22,7,0,4,26607.653378726423
22,8,0,3,26872.014610138656
