path,horizon,state,n_claims,total_loss
0,1,1,38,951246.993136962
0,2,0,1,734.2687204830816
0,3,0,4,30434.012308962403
0,4,0,4,11740.223847677575
0,5,0,3,26713.536391499438
0,6,0,1,31722.93077899444
0,7,0,3,21837.352108266863
0,8,0,3,53115.994029650334
1,1,1,29,821589.2347331564
1,2,0,2,53901.96210383675
1,3,0,3,33877.31813976579
1,4,0,7,58716.432024985086
1,5,0,2,12530.305128603493
1,6,0,3,8613.081447467624
1,7,0,2,29755.765081380152
1,8,0,1,3629.534920757947
2,1,0,2,29261.689548138154
2,2,1,29,852159.2023794914
2,3,0,5,71841.38986211414
2,4,0,1,1379.696991412783
2,5,0,2,32132.306275264826
2,6,1,30,963359.2697724008
2,7,0,3,155198.8696900055
2,8,0,1,12637.463458322263
3,1,0,1,1502.3860987299092
3,2,0,2,54898.14432748168
3,3,0,3,9676.89328961329
3,4,0,3,586550.0458955937
3,5,0,4,8541.721842261697
3,6,0,2,16228.92399396078
3,7,0,7,80058.52627373152
3,8,0,3,11558.166287918904
4,1,0,4,28474.774510755436
4,2,0,3,13956.126857562918
4,3,0,3,110222.14975542392
4,4,1,29,731205.8977492221
4,5,0,4,62696.90695893019
4,6,0,6,57602.36947204037
4,7,0,3,133208.5980891296
4,8,0,1,16578.505386521345
5,1,0,1,29806.81569921129
5,2,0,2,36184.255410188256
5,3,0,2,17759.82275678537
5,4,1,37,868101.6135116117
5,5,1,35,1110209.1387698385
5,6,0,2,138816.61261393293
5,7,0,3,2562.431036625898
5,8,0,2,14407.520714401759
6,1,0,5,67419.57841772524
6,2,1,20,689539.5598360641
6,3,1,25,442086.3004471118
6,4,1,33,743506.3510690611
6,5,0,2,45659.97860623186
6,6,1,26,535887.5620402164
6,7,0,2,35902.241154718766
6,8,0,2,18069.499662221377
7,1,0,3,27683.351273546454
7,2,0,5,139751.8646631079
7,3,0,1,18908.93547816548
7,4,0,0,0.0
7,5,1,29,941606.5164020535
7,6,0,2,35752.073425920506
7,7,0,7,34524.805399951714
7,8,0,3,300441.8759987346
8,1,0,2,3157.2629152807735
8,2,0,1,18706.17572960111
8,3,0,3,5913.099712351942
8,4,0,3,4524.520423808935
8,5,0,4,21788.65664260815
8,6,0,4,42786.734859313314
8,7,1,20,508904.0861918232
8,8,0,5,158238.66887243168
9,1,0,2,7524.299074373978
9,2,0,4,67610.19051976339
9,3,0,1,16392.46338384034
9,4,0,2,96026.08382175959
9,5,0,2,37784.59645354178
9,6,1,27,866397.9775543292
9,7,0,3,21774.060042486784
9,8,0,2,38457.411162199234
10,1,0,3,18134.07774437467
10,2,1,29,844951.422960884
10,3,0,1,4446.180009434654
10,4,0,4,55447.81466496373
10,5,0,2,86853.29341091649
10,6,0,2,2632.1446667350647
10,7,0,5,62546.04613357541
10,8,0,3,34039.507242412765
11,1,0,3,52825.85763074523
11,2,0,4,8459.600638802272
11,3,0,4,62902.24152873379
11,4,0,4,29961.27662781708
11,5,0,2,54274.97325188295
11,6,0,2,241251.2013616689
11,7,0,5,32752.415819361922
11,8,0,4,61750.723031627465
12,1,0,1,25156.083733202566
12,2,0,1,3260.535221544439
12,3,0,4,46503.76319090595
12,4,0,2,19804.41104001132
12,5,0,0,0.0
12,6,0,4,49311.2290633747
12,7,0,3,31422.77300475439
12,8,0,2,8034.385704387649
13,1,1,26,660370.457064457
13,2,0,1,9797.143915138113
13,3,0,7,93713.92057830782
13,4,0,3,84479.52028117632
13,5,1,33,1065210.1810066437
13,6,0,1,2804.1011150904005
13,7,0,2,24765.03334336874
13,8,1,33,772035.9113804209
14,1,0,1,2158.4653024627846
14,2,0,3,37245.564905582265
14,3,0,8,105535.53122218105
14,4,0,0,0.0
14,5,1,33,679393.3688259107
14,6,0,6,78033.51186698579
14,7,0,2,9397.526902409689
14,8,0,1,2382.5247369467265
15,1,0,4,20336.16269224234
15,2,1,29,773601.8080100274
